Year,Topic,Content,LexRank,TextRank,Pegasus,Bart,Content_Length,Word_Count
2006-2007,How severe was the 2006-2007 flu season?,"The 2006-07 flu season was generally mild compared to recent flu seasons. For example, the proportion of all deaths associated with influenza illness was lower this season than the previous three flu seasons. Hospitalization rates among children were also lower than the previous three flu seasons. However, more pediatric deaths related to influenza were reported during the 2006-07 season than the previous two seasons. Nationally, low levels of flu activity were reported during October through mid-December. Flu activity increased during late December, peaked in mid-February, and decreased through the end of the flu season on May 19.","Flu activity increased during late December, peaked in mid-February, and decreased through the end of the flu season on May 19.","For example, the proportion of all deaths associated with influenza illness was lower this season than the previous three flu seasons.","For example, the proportion of all deaths associated with influenza illness was lower this season than the previous three flu seasons.","The 2006-07 flu season was generally mild compared to recent flu seasons. Nationally, low levels of flu activity were reported during October through mid-December. Flu activity increased during late December, peaked in mid-February, and decreased through the end of the flu season.",639,97
2006-2007,How many people died from flu during the 2006-07 season?,"Exact numbers of how many people died from flu this season cannot be determined. Flu-associated deaths are only a nationally notifiable condition among children, and states are not required to report flu cases or to report adult deaths from influenza to CDC. In addition, many people who die of complications from flu infection are not tested for flu, or they seek medical care later in their illness when influenza can no longer be detected from respiratory samples. However, CDC tracks pneumonia and flu deaths through the 122 Cities Mortality Reporting System. This system collects information each week on the total number of death certificates filed in each of the 122 participating cities and the number of death certificates with pneumonia or influenza listed as a cause of death. This system helps gauge the severity of the flu season compared with other years, but does not specifically estimate the number of flu-associated deaths. Estimates of flu-associated deaths are made by modeling death certificate data from the National Center for Health Statistics and from CDC influenza virus surveillance data. For more information on influenza mortality modeling",Estimates of flu-associated deaths are made by modeling death certificate data from the National Center for Health Statistics and from CDC influenza virus surveillance data.,Estimates of flu-associated deaths are made by modeling death certificate data from the National Center for Health Statistics and from CDC influenza virus surveillance data.,This system collects information each week on the total number of death certificates filed in each of the 122 participating cities and the number of death certificates with pneumonia or influenza listed as a cause of death.,Flu-associated deaths are only a nationally notifiable condition among children. Many people who die of complications from flu infection are not tested for flu.,1168,184
2006-2007,Was there a good match between the influenza strains selected for the vaccine and the strains that circulated during the 2006-07 season?,"The influenza A (H1) component of the 2006-07 flu vaccine was well matched to circulating influenza A (H1) viruses, which accounted for the majority of influenza viruses tested by CDC. There are two groups of influenza B viruses currently circulating, which are known as the B/Yamagata lineage viruses and the B/Victoria lineage viruses. The 2006-07 vaccine contained a B virus from the B/Victoria lineage and 77% of the viruses tested by CDC were from the B/Victoria lineage. Fifty percent of the influenza B viruses characterized as belonging to the B/Victoria lineage were well matched to the influenza B component of the 2006-07 flu vaccine. In the early months of the season, the majority of influenza A (H3) viruses circulating in the country matched the influenza A (H3N2) component of the 2006�07 vaccine. However, the proportion of H3N2 viruses similar to the H3N2 vaccine component declined as the season progressed. Overall for the 2006-07 season, 24 percent of H3N2 viruses were well matched to the vaccine strain.","Overall for the 2006-07 season, 24 percent of H3N2 viruses were well matched to the vaccine strain.","In the early months of the season, the majority of influenza A (H3) viruses circulating in the country matched the influenza A (H3N2) component of the 2006�07 vaccine.",Fifty percent of the influenza B viruses characterized as belonging to the B/Victoria lineage were well matched to the influenza B component of the 2006-07 flu vaccine.,"The influenza A (H1) component of the 2006-07 flu vaccine was well matched to circulating viruses. There are two groups of influenza B viruses currently circulating, which are known as B/Yamagata lineage viruses and the B/Victoria lineage viruses.",1026,166
2006-2007,What can be done to protect children from flu-associated illness and death?,"Vaccination remains the best method for preventing flu and its potentially severe complications in children. October or November is the best time to get vaccinated, but getting vaccinated in December or even later can still be beneficial, since most flu activity occurs in January or later in most years. Though it varies, the flu season can last as late as May and sporadic cases of flu occur year round.\nAll children 6 months of age to their 5th birthday are recommended for influenza vaccination. In addition, all children with chronic medical conditions such as asthma should get the flu vaccine. Household contacts and caregivers of these children are also recommended for annual vaccination.\nChildren younger than 6 months of age are at high risk of influenza complications, but are too young to get a flu vaccine. The best way to protect these children is to vaccinate their household members and out-of-home caregivers.\nChildren receiving flu vaccine for the first time need to receive two doses their first year, with the first dose ideally given in September. For inactivated vaccine (the flu shot), the second dose is given four or more weeks after the first dose. For live attenuated flu vaccine (nasal spray vaccine), the second dose can be administered six weeks after the first dose. The flu shot is approved for children 6 months of age and older. The nasal spray vaccine is approved for healthy children 5 years of age and older. Children with asthma or other conditions should get the flu shot instead of the nasal spray.",Children with asthma or other conditions should get the flu shot instead of the nasal spray.,"Household contacts and caregivers of these children are also recommended for annual vaccination.\nChildren younger than 6 months of age are at high risk of influenza complications, but are too young to get a flu vaccine.
The best way to protect these children is to vaccinate their household members and out-of-home caregivers.\nChildren receiving flu vaccine for the first time need to receive two doses their first year, with the first dose ideally given in September.","Household contacts and caregivers of these children are also recommended for annual vaccination.nChildren younger than 6 months of age are at high risk of influenza complications, but are too young to get a flu vaccine.",Vaccination remains the best method for preventing flu and its potentially severe complications in children. October or November is the best time to get vaccinated. Getting vaccinated in December or even later can still be beneficial.,1542,256
2007-2008,What flu viruses circulated this season?,"In the United States, influenza A (H1N1), A (H3N2) and B viruses co-circulated throughout the season. Influenza A viruses accounted for 71% of the specimens testing positive for flu by public health laboratories while influenza B viruses accounted for 29%.\nEarly in the season, influenza A (H1N1) viruses predominated, however, as the season progressed, an increasing proportion of sub-typed* influenza A viruses were influenza A (H3N2) viruses. Late in the season, when overall influenza activity was declining, influenza B viruses were more commonly reported than influenza A viruses. Overall, for the 2007-2008 U.S. flu season, influenza A (H3N2) viruses were most commonly reported.\n* Subtyping is the process of identifying an influenza A virus by its genetic and antigenic (biological) properties to determine if it is an influenza A (H3N2) or influenza A (H1N1) virus. Flu A viruses are subtyped in public health laboratories, such as state department of health laboratories and CDC Influenza Division laboratories.","Flu A viruses are subtyped in public health laboratories, such as state department of health laboratories and CDC Influenza Division laboratories.","Influenza A viruses accounted for 71% of the specimens testing positive for flu by public health laboratories while influenza B viruses accounted for 29%.\nEarly in the season, influenza A (H1N1) viruses predominated, however, as the season progressed, an increasing proportion of sub-typed* influenza A viruses were influenza A (H3N2) viruses.","Influenza A viruses accounted for 71% of the specimens testing positive for flu by public health laboratories while influenza B viruses accounted for 29%.nEarly in the season, influenza A (H1N1) viruses predominated, however, as the season progressed, an increasing proportion of sub-typed* influenza A viruses were influenza A (H3N2) viruses."," Influenza A viruses accounted for 71% of the specimens testing positive for flu by public health laboratories. In the United States, A (H3N2) and B viruses co-circulated throughout the season. Late in the season, when overall influenza activity was declining, influenza B viruses were more commonly reported.",1024,154
2007-2008,Why were two of the three strains in this season�s flu vaccine less than optimally matched to circulating viruses?,"Flu viruses are always changing. They can change from the time the vaccine is recommended and the beginning of the flu season, or they can even change during a flu season. Each year, experts study thousands of flu virus samples from around the world to figure out which viruses are making people sick and how these viruses are changing. With this information, they forecast which three viruses are most likely to make the most people sick during the next flu season. Each year, the seasonal influenza vaccine contains three influenza virus strains � one influenza A (H3N2) virus, one influenza A (H1N1) virus, and one influenza B virus. The selection of which viruses to include in the vaccine must be made in February of the prior year in order for vaccine to be produced in time for distribution the following season. For this reason, there is always the possibility of a less than optimal match between viruses in the vaccine and circulating viruses. For more information about the vaccine strain selection process, visit Selecting the Viruses in the Influenza (Flu) Vaccine.\nIn terms of the influenza A (H3N2) virus strain selection for the 2007-2008 vaccine, in February of 2007, there were few influenza A (H3N2) virus samples available to guide the selection of the H3N2 vaccine component. While the H3N2 A/Brisbane-like virus that became the predominant virus in the U.S. this season first emerged in Australia in 2007, there was no clear indication that this virus would become the predominant virus causing illness. In addition, there were very few influenza A (H3N2) samples and nothing suitable as a strain for vaccine production. For this reason, the World Health Organization and the Vaccines and Related Biologicals Advisory Committee in the U.S. Food and Drug Administration recommended that the influenza A (H3N2) component of the 2007-2008 influenza vaccine would remain the same as the previous season because influenza A (H3N2) viruses similar to the vaccine strain were still circulating and no other candidate reference strains were available. CDC continued to monitor this situation closely and frequently updated information on circulating strains and public health and public education guidance based on this information throughout the season.\nIn terms of the selection of the B/Yamagata lineage for inclusion in the 2007-2008 vaccine, in February 2007, both B/Yamagata and B/Victoria viruses were co-circulating, however the B/Victoria lineage was predominant at the time. B/Victoria and B/Yamagata viruses are antigenically and genetically far apart. With two co-circulating B lineages, it�s more difficult to forecast which B lineage will predominate for the next season. At the time the vaccine virus selection decision was made, is was not yet clear that B/Yamagata viruses would become the predominant B viruses circulating in the United States this season.","At the time the vaccine virus selection decision was made, is was not yet clear that B/Yamagata viruses would become the predominant B viruses circulating in the United States this season.","For this reason, the World Health Organization and the Vaccines and Related Biologicals Advisory Committee in the U.S. Food and Drug Administration recommended that the influenza A (H3N2) component of the 2007-2008 influenza vaccine would remain the same as the previous season because influenza A (H3N2) viruses similar to the vaccine strain were still circulating and no other candidate reference strains were available.
CDC continued to monitor this situation closely and frequently updated information on circulating strains and public health and public education guidance based on this information throughout the season.\nIn terms of the selection of the B/Yamagata lineage for inclusion in the 2007-2008 vaccine, in February 2007, both B/Yamagata and B/Victoria viruses were co-circulating, however the B/Victoria lineage was predominant at the time.
At the time the vaccine virus selection decision was made, is was not yet clear that B/Yamagata viruses would become the predominant B viruses circulating in the United States this season.","Each year, experts study thousands of flu virus samples from around the world to figure out which viruses are making people sick and how these viruses are changing.","Flu viruses are always changing. They can change from the time the vaccine is recommended and the beginning of the flu season, or they can even change during a flu season. Each year, the seasonal influenza vaccine contains three influenza virus strains.",2890,455
2007-2008,Can the vaccine provide protection even if the vaccine is not a �good� match?,"Yes, antibodies made in response to vaccination with one strain of influenza viruses can provide protection against different, but related strains. A less than ideal match may result in reduced vaccine effectiveness against the variant viruses, but it can still provide enough protection to prevent or lessen illness severity and prevent flu-related complications. In addition, it�s important to remember that the influenza vaccine contains three virus strains so that even when there is a less than ideal match or lower effectiveness against one strain, the vaccine may protect against the other two viruses. For these reasons, even during seasons when there is a less than ideal match, CDC continues to recommend influenza vaccination. This is particularly important for people at high risk for serious flu complications and their close contacts.","For these reasons, even during seasons when there is a less than ideal match, CDC continues to recommend influenza vaccination.","A less than ideal match may result in reduced vaccine effectiveness against the variant viruses, but it can still provide enough protection to prevent or lessen illness severity and prevent flu-related complications.","In addition, it s important to remember that the influenza vaccine contains three virus strains so that even when there is a less than ideal match or lower effectiveness against one strain, the vaccine may protect against the other two viruses.","A less than ideal match can still provide enough protection to prevent or lessen illness severity and prevent flu-related complications. The influenza vaccine contains three virus strains so that even when there is a less than Ideal match, the vaccine may protect against the other two viruses.",848,130
2008-2009,When did the flu season peak?,"The weekly percentage of outpatient visits for influenza-like illness (ILI) peaked at the end of October at 7.6%, a level higher than the three previous influenza seasons, as reported by the U.S. Outpatient ILI Surveillance Network (ILINet). This percentage decreased to 1.0% by the middle of May, 2010. The number of states reporting widespread influenza activity peaked at 49 at the end of October, and decreased to zero by the beginning of January. By the middle of May, no states were reporting widespread or regional influenza activity and most states were reporting sporadic or no flu activity. In most years, seasonal influenza activity peaks in January or February. (See�graph of peak influenza activity by month in the United States from 1976-2009.)",(See�graph of peak influenza activity by month in the United States from 1976-2009.),"The number of states reporting widespread influenza activity peaked at 49 at the end of October, and decreased to zero by the beginning of January.","The number of states reporting widespread influenza activity peaked at 49 at the end of October, and decreased to zero by the beginning of January.","The weekly percentage of outpatient visits for influenza-like illness (ILI) peaked at the end of October at 7.6%, a level higher than the three previous influenza seasons. This percentage decreased to 1.0% by the middle of May, 2010. In most years, seasonal influenza activity peaks in January or February.",758,121
2008-2009,How severe was the season?,"2009 H1N1 activity was relatively more severe among people younger than 65 years of age compared with non-pandemic influenza seasons. Influenza activity was associated with significantly higher pediatric mortality, and higher rates of hospitalizations in children and young adults than previous seasons. The 2009-10 influenza season was relatively less severe among people 65 years and older than compared with usual flu seasons. Like seasonal flu, people with certain chronic medical conditions were at greater risk of serious flu complications during the 2009-10 pandemic season, including hospitalizations and deaths. In fact, an estimated 80% of adult hospitalizations and 65% of child hospitalizations related to 2009 H1N1 occurred in people with one or more underlying medical conditions1. Additional information about severity of the 2009-2010 season can be found in the�MMWR�article",Additional information about severity of the 2009-2010 season can be found in the�MMWR�article,2009 H1N1 activity was relatively more severe among people younger than 65 years of age compared with non-pandemic influenza seasons.,The 2009-10 influenza season was relatively less severe among people 65 years and older than compared with usual flu seasons., Influenza activity was associated with significantly higher pediatric mortality. The 2009-10 influenza season was relatively less severe among people 65 years and older. People with certain chronic medical conditions were at greater risk of serious flu complications.,890,128
2008-2009,How effective is the seasonal flu vaccine?,"The ability of flu vaccine to protect a person depends on two things: 1) the age and health status of the person getting vaccinated, and 2) the similarity or �match� between the virus strains in the vaccine and those circulating in the community. If the viruses in the vaccine and the influenza viruses circulating in the community are closely matched, vaccine effectiveness is higher. If they are not closely matched, vaccine effectiveness can be reduced. However, it�s important to remember that even when the viruses are not closely matched, the vaccine can still protect many people and prevent flu-related complications. Such protection is possible because antibodies made in response to the vaccine can provide some protection (called cross-protection) against different, but related strains of influenza viruses. The vaccine may be somewhat less effective in elderly persons and very young children, but vaccination can still prevent serious complications from the flu.","The vaccine may be somewhat less effective in elderly persons and very young children, but vaccination can still prevent serious complications from the flu.","However, it�s important to remember that even when the viruses are not closely matched, the vaccine can still protect many people and prevent flu-related complications.","However, it s important to remember that even when the viruses are not closely matched, the vaccine can still protect many people and prevent flu-related complications.","The ability of flu vaccine to protect a person depends on two things. The age and health status of the person getting vaccinated, and the similarity or match between the virus strains in the vaccine and those circulating in the community.",976,150
